listing_id,onehot_encoding__room_type_Entire home/apt,onehot_encoding__room_type_Hotel room,onehot_encoding__room_type_Private room,onehot_encoding__room_type_Shared room,ordinal_encoding__neighbourhood_more_than_30,ordinal_encoding__type_of_accommodation,target_encoding__coordinates,numeric__minimum_nights,numeric__number_of_reviews,numeric__days_since_last_review,numeric__reviews_per_month,numeric__calculated_host_listings_count,numeric__availability_365,numeric__score,numeric__number_of_reviews_ltm,numeric__number_of_reviews_ltm_ratio,numeric__number_of_bedrooms,numeric__number_of_beds,numeric__number_of_baths,numeric__imperial_palace_distance,numeric__nearest_convenience_store,numeric__nearest_train_station,numeric__nearest_airport,numeric__nearest_bus_station,numeric__nearest_subway,binary__is_new,binary__is_studio,binary__has_shared_bath,binary__has_half_bath,target
788026625932431576,1.0,0.0,0.0,0.0,19.0,20.0,23629.245919839355,2.0,16.0,4.0,2.94,27.0,160.0,4.69,16.0,1.0,1.0,2.0,1.0,6719.477015197808,46.59849709763973,324.49462549000833,1312.6673161481567,276.3073795174019,1092.1898469489463,0.0,0.0,0.0,0.0,17060.172602739727
788071078545546362,1.0,0.0,0.0,0.0,9.0,20.0,15491.850214680024,2.0,19.0,29.0,3.17,30.0,173.0,4.58,19.0,1.0,1.0,2.0,1.0,11436.605862653258,311.9595117599804,559.3454312476432,9207.901919932581,507.4644873169225,1164.6972560973375,0.0,0.0,0.0,0.0,11863.013698630137
788077008223729567,1.0,0.0,0.0,0.0,9.0,20.0,15491.850214680024,2.0,12.0,32.0,1.99,30.0,166.0,4.92,12.0,1.0,1.0,1.0,1.0,11406.984080573899,296.07195128685,543.4581082050295,9223.798617165083,491.57711448117846,1148.8105140457387,0.0,0.0,0.0,0.0,10610.95890410959
788079651539197400,1.0,0.0,0.0,0.0,9.0,20.0,15491.850214680024,2.0,3.0,82.0,0.99,30.0,175.0,4.67,3.0,1.0,1.0,2.0,1.0,11599.87073889164,213.682390981223,461.0637888876838,9306.005042018993,409.18379320778223,1066.4045494559607,0.0,0.0,0.0,0.0,10486.301369863013
788082530236835834,1.0,0.0,0.0,0.0,9.0,20.0,15491.850214680024,2.0,6.0,67.0,1.01,30.0,180.0,4.83,6.0,1.0,1.0,2.0,1.0,11392.703677154925,33.344284009547884,280.72614575435136,9486.360998336171,228.8460527998309,886.0680413322027,0.0,0.0,0.0,0.0,10504.109589041096
788085145148981739,1.0,0.0,0.0,0.0,9.0,20.0,15491.850214680024,2.0,7.0,55.0,1.16,30.0,176.0,5.0,7.0,1.0,1.0,2.0,1.0,11330.629654729446,92.0763906605662,339.4603409466301,9427.709262562503,287.579809990253,944.8073471721119,0.0,0.0,0.0,0.0,12512.328767123288
788087843283942233,1.0,0.0,0.0,0.0,9.0,20.0,15491.850214680024,2.0,11.0,51.0,2.05,30.0,168.0,5.0,11.0,1.0,1.0,1.0,1.0,11296.023232844913,101.7467696208111,349.1314853633168,9418.068339762389,297.2507938779864,954.4803646560083,0.0,0.0,0.0,0.0,10405.479452054795
788091092714172284,1.0,0.0,0.0,0.0,9.0,20.0,15491.850214680024,2.0,9.0,39.0,2.18,30.0,166.0,5.0,9.0,1.0,1.0,1.0,1.0,11430.435091737078,43.19892103301712,229.7787552713407,9537.247858061006,177.89898383963603,835.11689929017,0.0,0.0,0.0,0.0,9827.397260273972
788093929294040656,1.0,0.0,0.0,0.0,9.0,20.0,15491.850214680024,2.0,0.0,-1.0,-1.0,30.0,143.0,-1.0,0.0,0.0,1.0,1.0,1.0,11458.346224019204,318.14170501303056,565.5273555375985,9201.709376489038,513.6464680129145,1170.8785222362524,0.0,0.0,0.0,0.0,12284.931506849314
788187025495624726,0.0,0.0,1.0,0.0,2.0,16.0,31536.451337038823,1.0,28.0,9.0,5.0,33.0,352.0,4.68,28.0,1.0,1.0,1.0,0.0,3827.429551712764,172.69658007744962,398.48594248056054,2774.5938162364114,217.71005958838583,90.93825465197013,0.0,0.0,0.0,0.0,13072.191780821919
